Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
1165.7;0.02475;0.53;1.230175;1.135063;1.071647;0.971265;0.849424;0.705662;0.570316;0.436203;0.313614;0.220305
780.6;0.018331;0.51;0.751422;0.708459;0.678668;0.628093;0.567523;0.488092;0.404284;0.322979;0.240713;0.178355
1610.4;0.025855;0.69;1.986738;1.839302;1.747208;1.580137;1.369423;1.120025;0.853888;0.618140;0.426503;0.291143
474.7;0.015492;0.77;0.419724;0.400930;0.384834;0.356519;0.319725;0.275783;0.224734;0.176368;0.135432;0.103997
1322.8;0.051604;0.26;0.726905;0.658646;0.636824;0.594386;0.543011;0.471337;0.375430;0.278612;0.183522;0.114611
1227.7;0.05509;0.4;0.733548;0.657440;0.626610;0.573037;0.510884;0.432960;0.341370;0.250777;0.166528;0.103749
694.1;0.014656;0.57;0.594564;0.567884;0.546829;0.512492;0.465919;0.403456;0.334774;0.268227;0.211953;0.166418
622.5;0.025951;0.27;0.628603;0.584513;0.563996;0.524739;0.473780;0.404028;0.320766;0.241846;0.169420;0.114351
1295.6;0.054348;0.6;1.082503;0.967314;0.902254;0.786810;0.658636;0.521898;0.393914;0.285660;0.192849;0.126401
1126.9;0.044226;0.56;1.040982;0.932744;0.870098;0.763261;0.653276;0.520387;0.399822;0.294510;0.202809;0.134252
486.9;0.049113;0.86;0.655113;0.585229;0.536786;0.455450;0.363664;0.271907;0.191328;0.128166;0.079959;0.049676
330.2;0.023228;0.24;0.368693;0.343357;0.328340;0.300176;0.264886;0.224221;0.176329;0.130897;0.090025;0.061309
1083.8;0.025735;0.51;1.109951;1.028402;0.976192;0.882553;0.771406;0.650975;0.528111;0.400139;0.286349;0.202255
721.1;0.01916;0.09;0.673031;0.642498;0.628016;0.597603;0.556505;0.494177;0.412353;0.321635;0.237987;0.174504
1615.2;0.032374;0.63;1.832272;1.697609;1.601996;1.431094;1.223332;0.987014;0.751330;0.532048;0.363185;0.249565
1673.3;0.026334;0.61;1.880287;1.751331;1.661072;1.498188;1.298178;1.069602;0.818571;0.609922;0.425925;0.296273
701.3;0.023991;0.67;0.837914;0.777079;0.732356;0.656608;0.567230;0.469904;0.373015;0.275551;0.193617;0.134813
1421.1;0.056588;0.82;1.607153;1.406237;1.326858;1.178980;0.997572;0.768123;0.543661;0.361196;0.227392;0.143347
1554.6;0.029985;0.76;2.057296;1.891253;1.787887;1.619061;1.405520;1.131806;0.839584;0.596858;0.390400;0.256829
1136.5;0.028971;0.06;0.842642;0.793199;0.782745;0.752488;0.708226;0.632447;0.524124;0.410730;0.296152;0.202764
1537.6;0.039642;0.09;0.875433;0.800680;0.786995;0.750552;0.705920;0.629365;0.532761;0.416364;0.289440;0.193004
1621.2;0.013425;0.54;1.231971;1.186821;1.138076;1.053611;0.947343;0.824679;0.689346;0.554462;0.434069;0.346921
1068.8;0.020262;0.32;0.884111;0.832556;0.805402;0.757607;0.694683;0.616937;0.532423;0.432133;0.326455;0.238442
1319.7;0.046181;0.25;0.791372;0.718585;0.692034;0.639891;0.588154;0.511325;0.417364;0.311893;0.210506;0.135575
1107.5;0.038757;0.03;0.755311;0.691903;0.676498;0.638801;0.596699;0.518565;0.417178;0.304924;0.203870;0.129134
336.2;0.020012;0.18;0.372353;0.349693;0.334940;0.308976;0.275677;0.231571;0.186265;0.139846;0.100088;0.071008
1204.8;0.031186;0.34;0.969110;0.899152;0.865871;0.803733;0.728429;0.628996;0.513290;0.392695;0.283407;0.197788
1029.7;0.037238;0.49;0.946231;0.861610;0.812884;0.727635;0.629921;0.522721;0.407415;0.305186;0.212543;0.143399
821.2;0.036398;0.37;0.689115;0.630779;0.606500;0.558981;0.498618;0.422579;0.336479;0.250778;0.170724;0.110220
1612;0.019255;0.65;1.751739;1.664981;1.587194;1.450303;1.274999;1.057082;0.839744;0.632597;0.453573;0.334782
1461.3;0.014084;0.46;1.067846;1.026192;0.985834;0.921409;0.844412;0.743573;0.627260;0.509221;0.401276;0.327388
821.5;0.011528;0.26;0.531774;0.514553;0.502585;0.479778;0.445740;0.398454;0.343829;0.296395;0.249459;0.212390
1130.5;0.031749;0.67;1.399976;1.287046;1.203486;1.059569;0.894806;0.724565;0.543110;0.388012;0.261738;0.179148
1521.6;0.037893;0.53;1.462593;1.323149;1.248977;1.117858;0.958413;0.769174;0.588326;0.428674;0.302776;0.209080
1606.9;0.041939;0.05;0.860747;0.783699;0.769772;0.736504;0.692900;0.629886;0.528128;0.410402;0.283353;0.183530
1235.8;0.011711;0.67;0.934062;0.899722;0.861086;0.796436;0.710098;0.609131;0.507090;0.405803;0.321191;0.263764
589.5;0.045495;0.3;0.443176;0.403230;0.388275;0.356506;0.314244;0.257827;0.194668;0.134573;0.083833;0.050970
1215.4;0.018466;0.11;0.822838;0.784640;0.770894;0.741839;0.701696;0.655527;0.588760;0.498262;0.393902;0.302849
400.9;0.039669;0.46;0.363699;0.333639;0.317938;0.288509;0.254133;0.207619;0.158179;0.110131;0.071012;0.044074
869.4;0.040403;0.67;0.989085;0.893623;0.829071;0.720918;0.598851;0.474962;0.351505;0.253518;0.170541;0.112434
1233.7;0.048618;0.77;1.477435;1.312645;1.224936;1.065708;0.892263;0.693671;0.489268;0.333528;0.214706;0.138907
1607.2;0.012814;0.81;1.417047;1.378294;1.320612;1.225162;1.095150;0.929181;0.745340;0.587865;0.442836;0.346786
1435.3;0.052736;0.43;0.947828;0.843956;0.794696;0.707522;0.618571;0.515890;0.409705;0.307697;0.209694;0.135556
978.4;0.029214;0.5;0.976988;0.896720;0.848024;0.769432;0.683796;0.575854;0.455274;0.341157;0.242222;0.168383
1359.4;0.029981;0.63;1.597055;1.473789;1.389214;1.240665;1.057887;0.849115;0.655116;0.470943;0.324174;0.223126
883.9;0.026271;0.71;1.160136;1.064274;0.999964;0.891076;0.758129;0.605167;0.468262;0.337906;0.232484;0.158419
1660.5;0.03777;0.41;1.327937;1.219397;1.156640;1.044442;0.911309;0.751525;0.595009;0.449578;0.326118;0.228352
1683.2;0.024771;0.36;1.363750;1.267250;1.209463;1.111089;0.997707;0.854140;0.717230;0.578184;0.434538;0.316049
1509.8;0.028306;0.32;1.165226;1.078867;1.031122;0.951355;0.863419;0.762523;0.636595;0.501580;0.367954;0.266394
844.4;0.027452;0.46;0.811333;0.754430;0.721140;0.667831;0.601427;0.512798;0.411388;0.308419;0.220395;0.153000
936.6;0.041511;0.65;1.026211;0.923953;0.857878;0.745659;0.623960;0.493913;0.366662;0.265938;0.179840;0.118197
645.4;0.043222;0.64;0.632692;0.571630;0.535030;0.471189;0.400107;0.324200;0.248396;0.178145;0.117819;0.075388
1398.2;0.059605;0.34;0.719927;0.645761;0.620299;0.570345;0.517961;0.439484;0.351861;0.254985;0.165878;0.101954
1536;0.057218;0.58;1.191813;1.057690;0.989750;0.865075;0.727986;0.577639;0.435727;0.317614;0.216322;0.143387
1081.6;0.01965;0.18;0.815998;0.774963;0.756758;0.720686;0.677584;0.624569;0.547913;0.450039;0.343852;0.255315
1138.4;0.055979;0.3;0.620173;0.560474;0.541415;0.505269;0.459733;0.387717;0.306018;0.217167;0.137568;0.083748
508.4;0.024435;0.05;0.557754;0.519183;0.499002;0.458717;0.407098;0.344106;0.272748;0.202375;0.137916;0.092913
529.5;0.010925;0.92;0.279015;0.271084;0.260437;0.243497;0.220644;0.192522;0.162735;0.134351;0.110563;0.094500
753.9;0.045075;0.71;0.847068;0.754552;0.694990;0.604820;0.502416;0.388722;0.288950;0.204152;0.135935;0.087786
722.4;0.057605;0.73;0.695252;0.610489;0.561975;0.483125;0.401782;0.311690;0.229476;0.159447;0.103195;0.064231
316.4;0.04745;0.63;0.274809;0.249430;0.236391;0.211888;0.183161;0.149352;0.110498;0.076684;0.048400;0.029275
1055.9;0.047836;0.04;0.636549;0.574320;0.558917;0.526097;0.479842;0.401193;0.309285;0.214628;0.136681;0.083298
433.5;0.037104;0.63;0.437668;0.400086;0.377872;0.337586;0.293199;0.241535;0.186440;0.133395;0.088704;0.057040
505.1;0.024103;0.32;0.537018;0.503715;0.484656;0.448348;0.402848;0.342210;0.270226;0.203253;0.142947;0.097264
1183.6;0.022244;0.11;0.831756;0.786691;0.780418;0.758851;0.729349;0.673310;0.587991;0.478906;0.360052;0.266492
1503;0.024316;0.09;0.897284;0.842856;0.836296;0.819044;0.796427;0.749663;0.667511;0.555819;0.424040;0.317855
1099.2;0.021535;0.26;0.868877;0.820517;0.797549;0.749857;0.698125;0.633115;0.547579;0.441596;0.330972;0.241990
1695.6;0.036866;0.49;1.547525;1.392195;1.320080;1.190824;1.031902;0.838643;0.644890;0.474594;0.338027;0.237190
1075;0.02025;0.39;0.939902;0.885778;0.851912;0.790199;0.719802;0.624892;0.530633;0.429361;0.322960;0.236498
1021.6;0.031702;0.27;0.822651;0.761644;0.737658;0.690063;0.630488;0.548747;0.442297;0.340609;0.241595;0.163803
763;0.017111;0.27;0.664862;0.631388;0.613214;0.578013;0.533294;0.480722;0.412044;0.331116;0.251550;0.187937
902;0.028779;0.69;1.155565;1.065280;0.995032;0.876976;0.740419;0.601286;0.457723;0.328857;0.223693;0.153152
988.5;0.049678;0.07;0.586540;0.531775;0.517695;0.483772;0.435393;0.361028;0.276337;0.190396;0.119061;0.072486
399.5;0.050641;0.78;0.406243;0.363133;0.334653;0.292281;0.244671;0.191487;0.142339;0.097652;0.062283;0.038660
1542.8;0.05519;0.29;0.806112;0.720620;0.693028;0.640654;0.581533;0.503098;0.403772;0.303661;0.203303;0.127571
390.5;0.037019;0.82;0.506958;0.456500;0.420064;0.361081;0.303055;0.235791;0.174276;0.122303;0.080748;0.051815
910.7;0.050893;0.48;0.644079;0.578223;0.548971;0.497957;0.439937;0.368566;0.285661;0.207766;0.136435;0.085196
1457.3;0.045421;0.24;0.858198;0.781502;0.752999;0.696333;0.633636;0.555099;0.455973;0.346599;0.239807;0.156398
852.3;0.01216;0.22;0.573904;0.555148;0.542429;0.517766;0.482022;0.431436;0.374273;0.321501;0.267777;0.224988
1158.9;0.017297;0.31;0.882129;0.841579;0.816885;0.772700;0.715304;0.638764;0.543834;0.455583;0.359865;0.278644
409.3;0.016673;0.51;0.378835;0.358953;0.348002;0.327208;0.300756;0.264487;0.218891;0.170971;0.127986;0.096810
1236.7;0.038224;0.26;0.863470;0.788724;0.760922;0.707947;0.645944;0.554962;0.457451;0.351821;0.244348;0.162961
